Rating Star,Title,Body,Star only,Body with star
5.0 out of 5 stars,Amazing product,This product sound quality is superb. I was very impressed. It is a sleek design which is perfect for use anywhere! We love our OLES Phone-stand Bluetooth speaker. The battery life is amazing! Great value for the money! I will be buying another one for our friends who borrowed it and wanted to take it home !,5 stars,5 stars. Amazing product. This product sound quality is superb. I was very impressed. It is a sleek design which is perfect for use anywhere! We love our OLES Phone-stand Bluetooth speaker. The battery life is amazing! Great value for the money! I will be buying another one for our friends who borrowed it and wanted to take it home !
5.0 out of 5 stars,He loves it,"I bought this for my friend for his birthday three months ago, and every time I see him, he won't stop talking about how much he loves it, especially when he travels.",5 stars,"5 stars. He loves it. I bought this for my friend for his birthday three months ago, and every time I see him, he won't stop talking about how much he loves it, especially when he travels."
5.0 out of 5 stars,Cell phone stand,"Delivery was quick and was packaged in origin box. This is a great little thing. I use it to play music off my phone but some could use it for showing picture also. Battery life is about 15 hrs. There is a blue light to say it’s charged, but unfortunately it doesn’t have a light telling you that you need to recharge it. That would have been a smart plus. Anyways I definitely would purchase again. Judi",5 stars,"5 stars. Cell phone stand. Delivery was quick and was packaged in origin box. This is a great little thing. I use it to play music off my phone but some could use it for showing picture also. Battery life is about 15 hrs. There is a blue light to say it’s charged, but unfortunately it doesn’t have a light telling you that you need to recharge it. That would have been a smart plus. Anyways I definitely would purchase again. Judi"
5.0 out of 5 stars,Great sound,"I was surprised at the quality of sound that comes out of this little speaker. I got it for my wife to use with her phone to listen to music, but I may get another one for myself. Love how it cradles the phone, too.",5 stars,"5 stars. Great sound. I was surprised at the quality of sound that comes out of this little speaker. I got it for my wife to use with her phone to listen to music, but I may get another one for myself. Love how it cradles the phone, too."
5.0 out of 5 stars,Bought As A Gift,"Bought this as a gift for my brother. He said it had really good sound quality, took little time to charge and is the ONLY device to ever link up to his Kindle via Bluetooth. He is beyond pleased with this product. Would recommend this to anyone.",5 stars,"5 stars. Bought As A Gift. Bought this as a gift for my brother. He said it had really good sound quality, took little time to charge and is the ONLY device to ever link up to his Kindle via Bluetooth. He is beyond pleased with this product. Would recommend this to anyone."
5.0 out of 5 stars,GREAT FOR FACETIME CALLS,I was having some issues with my FaceTime calls with a doctor who already had some hearing loss and this item totally fixed the problem. This is a cool design that at first seems like it may be far less perfect for zoom and FaceTime calls that have become exponentially more common after the pandemic changed everything including the telehealth system that was also fully expanded into the methods of all companies and motif for replacing group meetings and voice group phone reach with the FaceTime and Zoom digital visual meetings that are now endemic in a very short period of time. This time was so terrible for countless people and the need for a device like this cool functioning low priced and ‘I can attest to the niche that was able to solve my very basic issues with the microphone on my iPhone being amazing but also vulnerable to just the ultra small hole that is often partially producing different levels of clear communication. But the simple genius of this puppy has a seemingly too basic stand that is on the base of the device. This base is also a Bluetooth speaker and has its own microphone that allows the iPhone to use a microphone other than the one on the phone and the speaker that amplifies the conversation with the Bluetooth speakers. I have given all my girls this great gift that is realized after using it for the video meetings that were at times made into a less fully integrated and inclusive work around that doesn’t have to be built into the phone but rather using this portable and powerful bauhaus type of design that is the answer for a percentage of users and the dependence upon the brilliant iPhone and smartphone placement and the way that different people talk into their phones with the knowledge of this speaking with the phone tilted and the microphone location at the bottom of the screen. This is the reality of a world of people who use their phones with endless differences which are also the reason why my iPhone and my knowledge being enough. So without trying to philosophize about microphones and iPhones; this addiction is made powerful by the Bluetooth speaker not being mainly for music and not the super smart solution for me and my upset doctor who hadn’t found this and purchased a seemingly unneeded accessory. If you are making zoom calls and being part of FaceTime and zoom now common for the world after the spaces between us were mandated by a pat of evolution and introduction into the devastation building walls in life and the fact that our smartphones are essential and yet the never ending accessories that exist for making the smartphone and the smart designs still not able to fix situations by upgrading the system when it’s a truly basic geometric and the good fact that we all can use our phones with our own style and with or without the schematics to be hit with a world that had not become video callers due to a world event and not the desire to let this old school belief that the future would prefer video calls instead of the mobile calling made on the absolute most incredible invention of the century and the fact that just a few years back… these devices didn’t show up on the most high tech views of the iPhone becoming the tricorder that Spock carried in Star Trek being the one exception to the bitmap text on huge computer screens without predicting the truth and now the scenes are like flaws that were in the science fiction predictions. Sorry for the preaching with text and not even having to use this affordable and valuable thing making the high tech brilliance to be brilliant.,5 stars,5 stars. GREAT FOR FACETIME CALLS. I was having some issues with my FaceTime calls with a doctor who already had some hearing loss and this item totally fixed the problem. This is a cool design that at first seems like it may be far less perfect for zoom and FaceTime calls that have become exponentially more common after the pandemic changed everything including the telehealth system that was also fully expanded into the methods of all companies and motif for replacing group meetings and voice group phone reach with the FaceTime and Zoom digital visual meetings that are now endemic in a very short period of time. This time was so terrible for countless people and the need for a device like this cool functioning low priced and ‘I can attest to the niche that was able to solve my very basic issues with the microphone on my iPhone being amazing but also vulnerable to just the ultra small hole that is often partially producing different levels of clear communication. But the simple genius of this puppy has a seemingly too basic stand that is on the base of the device. This base is also a Bluetooth speaker and has its own microphone that allows the iPhone to use a microphone other than the one on the phone and the speaker that amplifies the conversation with the Bluetooth speakers. I have given all my girls this great gift that is realized after using it for the video meetings that were at times made into a less fully integrated and inclusive work around that doesn’t have to be built into the phone but rather using this portable and powerful bauhaus type of design that is the answer for a percentage of users and the dependence upon the brilliant iPhone and smartphone placement and the way that different people talk into their phones with the knowledge of this speaking with the phone tilted and the microphone location at the bottom of the screen. This is the reality of a world of people who use their phones with endless differences which are also the reason why my iPhone and my knowledge being enough. So without trying to philosophize about microphones and iPhones; this addiction is made powerful by the Bluetooth speaker not being mainly for music and not the super smart solution for me and my upset doctor who hadn’t found this and purchased a seemingly unneeded accessory. If you are making zoom calls and being part of FaceTime and zoom now common for the world after the spaces between us were mandated by a pat of evolution and introduction into the devastation building walls in life and the fact that our smartphones are essential and yet the never ending accessories that exist for making the smartphone and the smart designs still not able to fix situations by upgrading the system when it’s a truly basic geometric and the good fact that we all can use our phones with our own style and with or without the schematics to be hit with a world that had not become video callers due to a world event and not the desire to let this old school belief that the future would prefer video calls instead of the mobile calling made on the absolute most incredible invention of the century and the fact that just a few years back… these devices didn’t show up on the most high tech views of the iPhone becoming the tricorder that Spock carried in Star Trek being the one exception to the bitmap text on huge computer screens without predicting the truth and now the scenes are like flaws that were in the science fiction predictions. Sorry for the preaching with text and not even having to use this affordable and valuable thing making the high tech brilliance to be brilliant.
5.0 out of 5 stars,Product is the best,i like that it plays loud and the battery life lasts fr a few days easy to set up one two three,5 stars,5 stars. Product is the best. i like that it plays loud and the battery life lasts fr a few days easy to set up one two three
5.0 out of 5 stars,Convenient,"Purchased as a gift and got such great feedback, I bought one for myself. Use it every day!",5 stars,"5 stars. Convenient. Purchased as a gift and got such great feedback, I bought one for myself. Use it every day!"
5.0 out of 5 stars,great!,I got this for my dad for fathers day and he loves it. Its pretty sturdy and seems like good quality for the price. The speaker is also pretty loud for a gadget like this. good purchase,5 stars,5 stars. great!. I got this for my dad for fathers day and he loves it. Its pretty sturdy and seems like good quality for the price. The speaker is also pretty loud for a gadget like this. good purchase
5.0 out of 5 stars,Hands free,I gave it to my husband as a father’s gift. He really likes it very much.,5 stars,5 stars. Hands free. I gave it to my husband as a father’s gift. He really likes it very much.
5.0 out of 5 stars,Gift,This was a gift for a family member and he’s enjoying it,5 stars,5 stars. Gift. This was a gift for a family member and he’s enjoying it
5.0 out of 5 stars,Love it!,Sounds excellent and holds a charge so It doesn't have to be plugged in all the time... I use it all the time.,5 stars,5 stars. Love it!. Sounds excellent and holds a charge so It doesn't have to be plugged in all the time... I use it all the time.
5.0 out of 5 stars,mom loved it,got it for my mom because she watches shows when she's doing stuff in the ki6tchen so i thought this was a cool gift for her. good sound,5 stars,5 stars. mom loved it. got it for my mom because she watches shows when she's doing stuff in the ki6tchen so i thought this was a cool gift for her. good sound
5.0 out of 5 stars,Works fine,Bought as a Christmas gift,5 stars,5 stars. Works fine. Bought as a Christmas gift
5.0 out of 5 stars,Birthday Gift,My Grandson loves it,5 stars,5 stars. Birthday Gift. My Grandson loves it
5.0 out of 5 stars,Dandy and Handy,Good place to park your phone when holding is invonvient.,5 stars,5 stars. Dandy and Handy. Good place to park your phone when holding is invonvient.
5.0 out of 5 stars,My husband loves his gift.,He can sit outside and listen and watch his sports or music through Bluetooth with good quality sound. Can use this while doing dishes and not miss a ball game or listen to music too.,5 stars,5 stars. My husband loves his gift.. He can sit outside and listen and watch his sports or music through Bluetooth with good quality sound. Can use this while doing dishes and not miss a ball game or listen to music too.
5.0 out of 5 stars,Great!!!,Loud and Crystal clear .,5 stars,5 stars. Great!!!. Loud and Crystal clear .
4.0 out of 5 stars,SOUNDS GREAT,THE SOUND ON IT IS GREAT. THE CONVENIENCE OF NOT HAVEING TO HOLD YOUR PHONE! DEFINITELY RECOMMEND!,4 stars,4 stars. SOUNDS GREAT. THE SOUND ON IT IS GREAT. THE CONVENIENCE OF NOT HAVEING TO HOLD YOUR PHONE! DEFINITELY RECOMMEND!
4.0 out of 5 stars,Love it,Perfect stocking stuffer,4 stars,4 stars. Love it. Perfect stocking stuffer
4.0 out of 5 stars,A good amplifier for the hard of hearing,"The Jteman phone amplifier works well. Operation is simple and so far reliable. I am hard of hearing and so this amplifier helps significantly to improve my hearing of phone conversations. The maximum volute level is fairly good. It works for me. I have not tried this with several people on my end participating in the call, but I am confident that it will do the job adequately.

I would say that the build quality if about the same as with most electronics made in China . It seems to be sturdy and well made.

The phone stand is adjustable for the angle you wish. It is simply a holder for your phone. You can set your phone of almost any size and shape on the stand. The phone can be in either a horizontal position or vertical position. The base of the holder folds up into the unit so that the back portion can be folded down against the speaker.

The self contained rechargeable batteries are charged using a USB-C connector, so any USB charger with a ""C"" type connector on one end of the cable will work. The proper cable is provided with the amplifier.

If I were to fault this phone amplifier, I think there are two things I would mention. The first is that the clarity of the speaker is somewhat mellow, so that higher frequencies are lost to a degree. I find this to be the major fault for me with my hearing loss. I would like a crisper tone designed to give clear voice amplification as that is what I primarily use this amplifier for.

The second criticism I have for this amplifier which is really nit picking, but could have easily been eliminated with a minimal design change. The power/charging/bluetooth LED is hidden from view when the unit is folded up for storage or charging. You have to lift the phone holder out of the storage position in order to view this LED.

Once setup, when you press the POWER button, you will get a audio message ""POWER ON"", ""BLUETOOTH MOUNT"" and ""CONNECTED"". This process will take about 3 to 5 seconds. You will need to hold the POWER button down several seconds for this to happen. To power off, a simple press of the POWER button will turn the unit off with the message ""POWER OFF"".

I found the instructions relatively clear and I had no difficulty in getting the phone amplifier to connect via bluetooth to my Samsung Android phone.

When receiving a phone call, your phone will ring and after a second or two, the phone amplifier will connect with the call. To accept a call, you press the ""Phone/Fast Forward"" button. To disconnect to the call, you press the same button again. Be careful not to double click this button as that will hang up the call.

I have not tried other phone amplifiers, so for the moment,the Jteman seems to be a good choice.",4 stars,"4 stars. A good amplifier for the hard of hearing. The Jteman phone amplifier works well. Operation is simple and so far reliable. I am hard of hearing and so this amplifier helps significantly to improve my hearing of phone conversations. The maximum volute level is fairly good. It works for me. I have not tried this with several people on my end participating in the call, but I am confident that it will do the job adequately.

I would say that the build quality if about the same as with most electronics made in China . It seems to be sturdy and well made.

The phone stand is adjustable for the angle you wish. It is simply a holder for your phone. You can set your phone of almost any size and shape on the stand. The phone can be in either a horizontal position or vertical position. The base of the holder folds up into the unit so that the back portion can be folded down against the speaker.

The self contained rechargeable batteries are charged using a USB-C connector, so any USB charger with a ""C"" type connector on one end of the cable will work. The proper cable is provided with the amplifier.

If I were to fault this phone amplifier, I think there are two things I would mention. The first is that the clarity of the speaker is somewhat mellow, so that higher frequencies are lost to a degree. I find this to be the major fault for me with my hearing loss. I would like a crisper tone designed to give clear voice amplification as that is what I primarily use this amplifier for.

The second criticism I have for this amplifier which is really nit picking, but could have easily been eliminated with a minimal design change. The power/charging/bluetooth LED is hidden from view when the unit is folded up for storage or charging. You have to lift the phone holder out of the storage position in order to view this LED.

Once setup, when you press the POWER button, you will get a audio message ""POWER ON"", ""BLUETOOTH MOUNT"" and ""CONNECTED"". This process will take about 3 to 5 seconds. You will need to hold the POWER button down several seconds for this to happen. To power off, a simple press of the POWER button will turn the unit off with the message ""POWER OFF"".

I found the instructions relatively clear and I had no difficulty in getting the phone amplifier to connect via bluetooth to my Samsung Android phone.

When receiving a phone call, your phone will ring and after a second or two, the phone amplifier will connect with the call. To accept a call, you press the ""Phone/Fast Forward"" button. To disconnect to the call, you press the same button again. Be careful not to double click this button as that will hang up the call.

I have not tried other phone amplifiers, so for the moment,the Jteman seems to be a good choice."
4.0 out of 5 stars,Works well,"It works. I just wish it could be stronger, so it could hold my ipad.",4 stars,"4 stars. Works well. It works. I just wish it could be stronger, so it could hold my ipad."
4.0 out of 5 stars,Good sound,Works well and easy to use,4 stars,4 stars. Good sound. Works well and easy to use
4.0 out of 5 stars,Easy setup,Got this for my husband as a gift. It works well nice size and easy to use.,4 stars,4 stars. Easy setup. Got this for my husband as a gift. It works well nice size and easy to use.
4.0 out of 5 stars,Great,It’s a great thing to listen to music or books,4 stars,4 stars. Great. It’s a great thing to listen to music or books
4.0 out of 5 stars,I love the idea,"It definitely gives you a bit more volume than normal I love that part. However I got it for work to hold my iPad when I watch movies. I have a 10inch ipad with a case. It's not a real thick bulky case and even tho it somewhat support it, it could have been made better. the loops at the bottom should have been made out of a metal or thicker plastic and it should have been wider and extended out more for bulky cases if needed. I do respect the concept of their idea. If they could change those couple complaints it would be well worth the money 1 out of 10 I'd give them a 8. If you take off your iPad case it won't weigh it down as much and would mostly be a better fit. I'm just not willing to compromise the case, I'm somewhat careless and would probably drop the iPad I. that minute 😳 Hopefully this was helpful to someone",4 stars,"4 stars. I love the idea. It definitely gives you a bit more volume than normal I love that part. However I got it for work to hold my iPad when I watch movies. I have a 10inch ipad with a case. It's not a real thick bulky case and even tho it somewhat support it, it could have been made better. the loops at the bottom should have been made out of a metal or thicker plastic and it should have been wider and extended out more for bulky cases if needed. I do respect the concept of their idea. If they could change those couple complaints it would be well worth the money 1 out of 10 I'd give them a 8. If you take off your iPad case it won't weigh it down as much and would mostly be a better fit. I'm just not willing to compromise the case, I'm somewhat careless and would probably drop the iPad I. that minute 😳 Hopefully this was helpful to someone"
4.0 out of 5 stars,Good Sound,Useful gadget.,4 stars,4 stars. Good Sound. Useful gadget.
4.0 out of 5 stars,Good product,For a nightstand or bathroom counter,4 stars,4 stars. Good product. For a nightstand or bathroom counter
4.0 out of 5 stars,Cell stand/speaker,Okay,4 stars,4 stars. Cell stand/speaker. Okay
4.0 out of 5 stars,I like.,"I like. I purchased 5, but never received discount from Amazon sales rep because I couldn’t add to my cart. Other than that I like. The colors are gorg. The sound is nice and it actually does hold your phone up. Battery life could be a little better, but really does come in handy when I’m in the kitchen... I like.",4 stars,"4 stars. I like.. I like. I purchased 5, but never received discount from Amazon sales rep because I couldn’t add to my cart. Other than that I like. The colors are gorg. The sound is nice and it actually does hold your phone up. Battery life could be a little better, but really does come in handy when I’m in the kitchen... I like."
4.0 out of 5 stars,Device is good but…!,"The Jteman device would not shut off. The volume would not change. I decided to let it drain itself out. Also, it would not connect to Bluetooth that was connected to my iPhone phone. After a day in worked again. So I change my review stars from a 3 to a 4!",4 stars,"4 stars. Device is good but…!. The Jteman device would not shut off. The volume would not change. I decided to let it drain itself out. Also, it would not connect to Bluetooth that was connected to my iPhone phone. After a day in worked again. So I change my review stars from a 3 to a 4!"
4.0 out of 5 stars,Jtman phone holder and speaker,"Sounds great
Battery life last a little over 2 straight hours of use weather you are watching a movie or Listening to your favorite music

I like it so much that I am going to buy another one just to have a back up handy",4 stars,"4 stars. Jtman phone holder and speaker. Sounds great
Battery life last a little over 2 straight hours of use weather you are watching a movie or Listening to your favorite music

I like it so much that I am going to buy another one just to have a back up handy"
4.0 out of 5 stars,"great stand, wish it chjarged","My husband likes to play games on his playstation through the TV but also listen to/watch shows on the iPad. Tis stand is great. Works well with both the ipad and iphone, just wish it also had charging capabilities.",4 stars,"4 stars. great stand, wish it chjarged. My husband likes to play games on his playstation through the TV but also listen to/watch shows on the iPad. Tis stand is great. Works well with both the ipad and iphone, just wish it also had charging capabilities."
4.0 out of 5 stars,It’s is heavy to hold a tablet,It’s pretty loud,4 stars,4 stars. It’s is heavy to hold a tablet. It’s pretty loud
4.0 out of 5 stars,Love it,Works great 👍,4 stars,4 stars. Love it. Works great 👍
4.0 out of 5 stars,Charger does not work on any other devices.,"Great product, but just be advised that the charger is only built for this product. Your cell phone charger will not charge this device even though it is a USB-C. Also, the charger for the speaker will not charge your cell phone. Other than that, it's a great product.",4 stars,"4 stars. Charger does not work on any other devices.. Great product, but just be advised that the charger is only built for this product. Your cell phone charger will not charge this device even though it is a USB-C. Also, the charger for the speaker will not charge your cell phone. Other than that, it's a great product."
4.0 out of 5 stars,Good but…,"This stand has good sound quality and I like that you can adjust the angels. However, it would be better if the stand actually held the phone in place. This makes using it very awkward.",4 stars,"4 stars. Good but…. This stand has good sound quality and I like that you can adjust the angels. However, it would be better if the stand actually held the phone in place. This makes using it very awkward."
4.0 out of 5 stars,"Great sound, bad audio sync! Tech tip: Un-pair BluTooth and re-pair.","Compared to speakers 5 X's as expensive, it ROCKS. Motion Soundcore, at $110, sounded like it was buried in a pillow case, and it had ridiculously low volume. Don't waste your money. Get this one. Audio profile is amazingly clean for the price, and volume is great. 1 star off for poor audio sync. Go to phone settings, bluetooth, un-pair, then re-pair to device to fix this problem.",4 stars,"4 stars. Great sound, bad audio sync! Tech tip: Un-pair BluTooth and re-pair.. Compared to speakers 5 X's as expensive, it ROCKS. Motion Soundcore, at $110, sounded like it was buried in a pillow case, and it had ridiculously low volume. Don't waste your money. Get this one. Audio profile is amazingly clean for the price, and volume is great. 1 star off for poor audio sync. Go to phone settings, bluetooth, un-pair, then re-pair to device to fix this problem."
4.0 out of 5 stars,Doesn't fit all phones,"It doesn't fit all phones, the second quality was okay, the battery life was okay, and the amount that I paid was okay for what I got",4 stars,"4 stars. Doesn't fit all phones. It doesn't fit all phones, the second quality was okay, the battery life was okay, and the amount that I paid was okay for what I got"
4.0 out of 5 stars,This is perfect for my desk,"It is the perfect size for my desk. I wasn’t expecting high end sound, but it is adequate for the space it is being used.",4 stars,"4 stars. This is perfect for my desk. It is the perfect size for my desk. I wasn’t expecting high end sound, but it is adequate for the space it is being used."
4.0 out of 5 stars,Missing charger,"Honestly love this at home and at wirk. However, I did have to get a charger.

Still, worth the purchase and plays well!

I would have given it a five but my charger was missing. I actually bought two and gave one to someone else. The other one arrived complete with charger.",4 stars,"4 stars. Missing charger. Honestly love this at home and at wirk. However, I did have to get a charger.

Still, worth the purchase and plays well!

I would have given it a five but my charger was missing. I actually bought two and gave one to someone else. The other one arrived complete with charger."
4.0 out of 5 stars,Little product big punch.,"I brought this for my husband, a truck driver to use on his lunch and breaks. While him testing it out the speakers/sound is great but I haven't seen him use it much. The product is nice and small but it'll be an additional thing to carry so a no go for hubby.",4 stars,"4 stars. Little product big punch.. I brought this for my husband, a truck driver to use on his lunch and breaks. While him testing it out the speakers/sound is great but I haven't seen him use it much. The product is nice and small but it'll be an additional thing to carry so a no go for hubby."
4.0 out of 5 stars,Good speaker for the Money!,Bought it as a gift and thought it was a great little gift idea. The sound coming out of the speaker impressed me for the price I paid. Worth the money!,4 stars,4 stars. Good speaker for the Money!. Bought it as a gift and thought it was a great little gift idea. The sound coming out of the speaker impressed me for the price I paid. Worth the money!
4.0 out of 5 stars,Was a gift,Great if you are tired of holding your phone to watch movies or videos,4 stars,4 stars. Was a gift. Great if you are tired of holding your phone to watch movies or videos
4.0 out of 5 stars,Good for working at my desk,Good for working at my desk.,4 stars,4 stars. Good for working at my desk. Good for working at my desk.
4.0 out of 5 stars,"So far, so good! The Jteman works nice!","So far it works and I'm very pleased. It doesn't have that surround sound but it's good! The last one I brought (I can't remember the name of it but it began with an M name) it sucked. It wouldn't even say power on or off. This one did, it paired with my phone, I can use all the buttons, there's loud sound coming from the speaker so I'm happy 😊",4 stars,"4 stars. So far, so good! The Jteman works nice!. So far it works and I'm very pleased. It doesn't have that surround sound but it's good! The last one I brought (I can't remember the name of it but it began with an M name) it sucked. It wouldn't even say power on or off. This one did, it paired with my phone, I can use all the buttons, there's loud sound coming from the speaker so I'm happy 😊"
4.0 out of 5 stars,Buen producto,Exelente inversion lo recomiendo,4 stars,4 stars. Buen producto. Exelente inversion lo recomiendo
4.0 out of 5 stars,Bought this for my granddaughter,My granddaughter was happy to get this for Christmas. I'm not sure how well it works since it was a present for her. She takes it in the bathroom and listens to music as she showers.,4 stars,4 stars. Bought this for my granddaughter. My granddaughter was happy to get this for Christmas. I'm not sure how well it works since it was a present for her. She takes it in the bathroom and listens to music as she showers.
4.0 out of 5 stars,Not bad. Does what it should. Pretty loud and clear.,"Considerably loud for a small speaker. Not much low end, but that was expected. Clear sound and easy pairing. My only gripe would be the usbc power connection is on the side toward the back instead of the back. Good value for money.",4 stars,"4 stars. Not bad. Does what it should. Pretty loud and clear.. Considerably loud for a small speaker. Not much low end, but that was expected. Clear sound and easy pairing. My only gripe would be the usbc power connection is on the side toward the back instead of the back. Good value for money."
4.0 out of 5 stars,Great for speaker calls and viedos,"This is great for calls using you speaker or videos. I had some problems with sound breaking up on a couple apps, but then I turned the speaker feature off and used the phones speaker.",4 stars,"4 stars. Great for speaker calls and viedos. This is great for calls using you speaker or videos. I had some problems with sound breaking up on a couple apps, but then I turned the speaker feature off and used the phones speaker."
4.0 out of 5 stars,Cool product. Serves it's purpose,My daughter uses it to watch videos hands free. She also uses it to record her tiktoks. Before she would have to prop it up against objects. It's utilized often,4 stars,4 stars. Cool product. Serves it's purpose. My daughter uses it to watch videos hands free. She also uses it to record her tiktoks. Before she would have to prop it up against objects. It's utilized often
4.0 out of 5 stars,Works well,Perfect for TikTok video creations,4 stars,4 stars. Works well. Perfect for TikTok video creations
4.0 out of 5 stars,Wish it held the phone better,"The phone falls off, it needs something to hold phone firmly.",4 stars,"4 stars. Wish it held the phone better. The phone falls off, it needs something to hold phone firmly."
4.0 out of 5 stars,Great deal,Can’t stand the phone lengthwise.. it’s unsteady that way but placing it sideways works just fine..,4 stars,4 stars. Great deal. Can’t stand the phone lengthwise.. it’s unsteady that way but placing it sideways works just fine..
4.0 out of 5 stars,Nice!,Very nice gift,4 stars,4 stars. Nice!. Very nice gift
4.0 out of 5 stars,I did,I did like product but not the person who received the gift,4 stars,4 stars. I did. I did like product but not the person who received the gift
4.0 out of 5 stars,Stand,Nice Christmas gift,4 stars,4 stars. Stand. Nice Christmas gift
4.0 out of 5 stars,exactly as shown good,hope will last a long time,4 stars,4 stars. exactly as shown good. hope will last a long time
4.0 out of 5 stars,NOT QUITE LOUD ENOUGH,It's a really nice idea but the speaker is not quite loud enough.,4 stars,4 stars. NOT QUITE LOUD ENOUGH. It's a really nice idea but the speaker is not quite loud enough.
4.0 out of 5 stars,Nice product,I can watch my cooking videos without trying to prop my phone up with something on my kitchen counter .,4 stars,4 stars. Nice product. I can watch my cooking videos without trying to prop my phone up with something on my kitchen counter .
4.0 out of 5 stars,Bought as a gift and we'll received.,Good gift idea.,4 stars,4 stars. Bought as a gift and we'll received.. Good gift idea.
4.0 out of 5 stars,value,this a gift . will know more later.,4 stars,4 stars. value. this a gift . will know more later.
4.0 out of 5 stars,Better Volume,"For my play along with the music, this unit saves the battery on my phone and, boosts the volume. It's also good for the summer gatherings in the backyard for playing my playlists off the phone.",4 stars,"4 stars. Better Volume. For my play along with the music, this unit saves the battery on my phone and, boosts the volume. It's also good for the summer gatherings in the backyard for playing my playlists off the phone."
4.0 out of 5 stars,Loud enough to get my groove on,Easy to use and connect to my phone.,4 stars,4 stars. Loud enough to get my groove on. Easy to use and connect to my phone.
4.0 out of 5 stars,"Surprise, Surprise 😮",Bought this as a gift for son. As soon as I heard it I Bought another one. Will be buying more for Christmas gifts.,4 stars,"4 stars. Surprise, Surprise 😮. Bought this as a gift for son. As soon as I heard it I Bought another one. Will be buying more for Christmas gifts."
4.0 out of 5 stars,Great auto off and easy to use!,The hubby doesn’t have to hold his phone to watch and listen anymore!,4 stars,4 stars. Great auto off and easy to use!. The hubby doesn’t have to hold his phone to watch and listen anymore!
4.0 out of 5 stars,Easy to set up and great sound,I bought this for my husband. It made it easier for him to watch videos and the sound is great. He said it was easy to set up. I highly recommend this product.,4 stars,4 stars. Easy to set up and great sound. I bought this for my husband. It made it easier for him to watch videos and the sound is great. He said it was easy to set up. I highly recommend this product.
4.0 out of 5 stars,Nice and portable,Inexpensive.. but great value and sound for the size. Portable can take anywhere bought for husband to take to the office but he uses it at home in the bathroom..,4 stars,4 stars. Nice and portable. Inexpensive.. but great value and sound for the size. Portable can take anywhere bought for husband to take to the office but he uses it at home in the bathroom..
4.0 out of 5 stars,Bought this as a gift,I bought this as a gift and he really liked it.,4 stars,4 stars. Bought this as a gift. I bought this as a gift and he really liked it.
4.0 out of 5 stars,I thought the sound would be better,It just made my phone a bit louder; I expected it to be better,4 stars,4 stars. I thought the sound would be better. It just made my phone a bit louder; I expected it to be better
4.0 out of 5 stars,Good Cell Stand,"Overall this is a good product, but like others have said the mic is not that great. The sound is better and louder than my S20+ 5G so I enjoy listening to music on it while working on the house. Connecting to the bluetooth is easy too. I have only charged it 1 time when I got it and have used it for about 40-50 hours over the last few month without charging it again.",4 stars,"4 stars. Good Cell Stand. Overall this is a good product, but like others have said the mic is not that great. The sound is better and louder than my S20+ 5G so I enjoy listening to music on it while working on the house. Connecting to the bluetooth is easy too. I have only charged it 1 time when I got it and have used it for about 40-50 hours over the last few month without charging it again."
4.0 out of 5 stars,Great Sound!,Received today and immediately tried it. I will be using it at work and the sound is better than I expected! Great inexpensive buy!!,4 stars,4 stars. Great Sound!. Received today and immediately tried it. I will be using it at work and the sound is better than I expected! Great inexpensive buy!!
4.0 out of 5 stars,Works as it should,Works good,4 stars,4 stars. Works as it should. Works good
4.0 out of 5 stars,my teenager loves it,"battery last long, easy to use",4 stars,"4 stars. my teenager loves it. battery last long, easy to use"
4.0 out of 5 stars,Perfect for camping!,Tired of holding your phone while you try to watch something. This will definitely fix that. Volume and speaker are both surprisingly great. Definitely worth the purchase.,4 stars,4 stars. Perfect for camping!. Tired of holding your phone while you try to watch something. This will definitely fix that. Volume and speaker are both surprisingly great. Definitely worth the purchase.
4.0 out of 5 stars,I wish I could turn up the volume. Very little control there.,I like it for holding my cell phone.,4 stars,4 stars. I wish I could turn up the volume. Very little control there.. I like it for holding my cell phone.
4.0 out of 5 stars,Good value,Decent sound quality,4 stars,4 stars. Good value. Decent sound quality
4.0 out of 5 stars,Good for graduation gift,Great idea for graduation gift,4 stars,4 stars. Good for graduation gift. Great idea for graduation gift
4.0 out of 5 stars,Good,Good,4 stars,4 stars. Good. Good
4.0 out of 5 stars,Great gift!,Smaller than expected,4 stars,4 stars. Great gift!. Smaller than expected
4.0 out of 5 stars,Good product so far,"I demo'ed this product at a friend's house.
It sounded great, seemed well built.
So I thought I'd purchase one. Have not had it long enough to give it 5 stars. Will update in a few weeks.",4 stars,"4 stars. Good product so far. I demo'ed this product at a friend's house.
It sounded great, seemed well built.
So I thought I'd purchase one. Have not had it long enough to give it 5 stars. Will update in a few weeks."
4.0 out of 5 stars,😧Doesn't get as loud as I'd hope.,I wish that it had an volume button on it. Because it didn't get as loud as I would've like...,4 stars,4 stars. 😧Doesn't get as loud as I'd hope.. I wish that it had an volume button on it. Because it didn't get as loud as I would've like...
4.0 out of 5 stars,All but Mic sound good!,"I drilled the Mic hole and added a small piece of Mic foam. Everyone I call now say it sounds much better!
Also, I had to raise the bottom of the phone to uncover my iPhone Mic!",4 stars,"4 stars. All but Mic sound good!. I drilled the Mic hole and added a small piece of Mic foam. Everyone I call now say it sounds much better!
Also, I had to raise the bottom of the phone to uncover my iPhone Mic!"
